sti,name,type,symbol,monitored,url
Capitaland Limited,Miguel Ko;Lee Chee Koon;Anthony Lim Weng Kin;Stephen Lee Ching Yen;Chaly Mah Chee Kheong;Kee Teck Koon;Goh Swee Chen;Gabriel Lim Meng Liang;Judy Hsu Chung Wei;David Su Tuong Sing;Helen Wong Siu Ming,Misc,C31.SI,Public Service Comission;Esplanade;IPOS,https://www.capitalandinvest.com/about-us/board-of-directors.html
Thai Beverage Public Company Limited,Charoen Sirivadhanabhakdi;Khunying Wanna Sirivadhanabhakdi;Narong Srisa-an;Komen Tantiwiwatthanaphan;Puchchong Chandhanakij;Kanoknart Rangsithienchai;Prasit Kovilaikool;Kanung Luchai;Manu Leopairote;Ng Tat Pun;Michael Lau Hwai Keong;Pornchai Matangkasombut;Sakthip Krairiksh;Choo-chat Kambhu Na Ayudhya;Vivat Tejapaibul;Panote Sirivadhanabhakdi;Thapana Sirivadhanabhakdi;Ueychai Tantha-obhas;Sithichai Chaikriangkrai;Pisanu Vichiensanth,Misc,Y92.SI,Public Service Comission;Esplanade;IPOS,https://www.thaibev.com/en08/aboutus.aspx?sublv1gID=53
Sembcorp Industries Ltd,Ang Kong Hua;Tham Kui Seng;Ajaib Haridass;Nicky Tan Ng Kuang;Yap Chee Keong;Josephine Kwa Lay Keng;Nagi Hamiyeh;Lim Ming Yan;Tow Heng Tan;Wong Kim Yin,Misc,U96.SI,Public Service Comission;Esplanade;IPOS,https://www.sembcorp.com/en/about-sembcorp/leadership/board-of-directors/
CapitaLand Integrated Commercial Trust,Teo Swee Lian;Tony Tan Tee Hieong;Quek Bin Hwee;Leo Mun Wai;Jeann Low Ngiap Jong;Stephen Lim Beng Lin;Jonathan Yap Neng Tong;Lim Cho Pin Andrew Geoffrey,Misc,C38U.SI,Public Service Comission;Esplanade;IPOS,https://www.cmt.com.sg/board-of-directors.html
City Developments Limited,Kwek Leng Beng;Sherman Kwek Eik Tse;Lee Jee Cheng Philip;Philip Yeo Liat Kok;Ong Lian Jin Colin;Daniel Marie Ghislain Desbaillets;Chong Yoon Chou;Carol Fong (chan Swee Liang Carolina);Tang Ai Ai Mrs Wong Ai Ai,Misc,C09.SI,Public Service Comission;Esplanade;IPOS,https://cdl.com.sg/board-of-directors
ComfortDelGro Corporation Limited,Lim Jit Poh;Yang Ban Seng;Jessica Cheam;Chiang Chie Foo;Mark Christopher Greaves;Kyle Lee;Philip Lee;Ooi Beng Chin;Adeline Sum;Lilian Tham;Wang Kai Yuen,Misc,C52.SI,Public Service Comission;Esplanade;IPOS,https://www.comfortdelgro.com/board-management
Dairy Farm International Holdings,Benjamin Keswick;Anthony Nightingale;Adam Phillip Charles Keswick;John Witt;Clem Constantine;David Cheesewright;Weiwei Chen;Christian Karl Nothhaft,Misc,D01.SI,Public Service Comission;Esplanade;IPOS,
DBS Group Holdings,Peter Seah Lim Huat;Piyush Gupta;Chng Kai Fong;Bonghan Cho;Ho Tian Yee;Punita Lal;Judy Lee;Anthony Lim Weng Kin;Olivier Lim Tse Ghow;Tham Sai Choy,Misc,D05.SI,Public Service Comission;Esplanade;IPOS,https://www.dbs.com/about-us/our-leadership/director.page
Frasers Logistics & Commercial Trust,Ho Hon Cheong;Goh Yong Chian;Paul Gilbert Say;Margaret Soh;Bobby Chin Yoke Choong;Panote Sirivadhanabhakdi;Rodney Vaughan Fehring;Chia Khong Shoong;Reinfried Helmut Otter,Misc,NA,Public Service Comission;Esplanade;IPOS,https://flct.frasersproperty.com/corporate-directory.html
Genting Singapore PLC,Lim Kok Thay;Tan Hee Teck;Chan Swee Liang Carolina (carol Fong);Tan Wah Yeow;Jonathan Asherson;Hauw Sze Shiung Winston,Misc,G13.SI,Public Service Comission;Esplanade;IPOS,http://www.gentingsingapore.com/#!/en/company/board-of-directors
