National Library Board,,https://www.nlb.gov.sg/
Lee Seow Hiang,,
Ling Tok Hong,,
Khor Un-Hun,,
Elmie Nekmat,,
Chng Hak-Peng,,
Dennis Goh,,
Melissa Kwee,,
Sylvia Lee,,
Lim Bee Kwan,,
Janice Goh,,
Ong Sin Wei,,
Surinder Devraj Kathpalia,,
Lim Hui Chen Jane,,
Sandhya Devanathan,,
Loh Woon Yen,,
Honor Harger,,
Tan Tai Yong,,
Norshahril Bin Saat,,
,,
SMRT,,https://www.smrt.com.sg/About-SMRT/Board-of-Directors
Seah Moon Ming,,
Lee Fook Sun,,
Neo Kian Hong,,
Moliah Hashim,,
Judy Lee,,
Lee Ling Wee,,
Abu Bakar Mohd Nor,,
Philip Nalliah Pillai,,
Quek Gim Pew,,
Peter Tan Boon Heng,,
Tan Chian Khong,,
Tan Ek Kia,,
William Tan Seng Koon,,
Yap Kim Wah,,
