Capitaland Limited,,https://www.capitalandinvest.com/about-us/board-of-directors.html,,C31.SI,,,,,,
Miguel Ko,,,,,,,,
Lee Chee Koon,,,,,,,,
Anthony Lim Weng Kin,,,,,,,,
Stephen Lee Ching Yen,,,,,,,,
Chaly Mah Chee Kheong,,,,,,,,
Kee Teck Koon,,,,,,,,
Goh Swee Chen,,,,,,,,
Gabriel Lim Meng Liang,,,,,,,,
Judy Hsu Chung Wei,,,,,,,,
David Su Tuong Sing,,,,,,,,
Helen Wong Siu Ming,,,,,,,,
,,,,,,,,
Thai Beverage Public Company Limited,,https://www.thaibev.com/en08/aboutus.aspx?sublv1gID=53,,Y92.SI,,,,,,
Charoen Sirivadhanabhakdi,,,,,,,,
Khunying Wanna Sirivadhanabhakdi,,,,,,,,
Narong Srisa-an,,,,,,,,
Komen Tantiwiwatthanaphan,,,,,,,,
Puchchong Chandhanakij,,,,,,,,
Kanoknart Rangsithienchai,,,,,,,,
Prasit Kovilaikool,,,,,,,,
Kanung Luchai,,,,,,,,
Manu Leopairote,,,,,,,,
Ng Tat Pun,,,,,,,,
Michael Lau Hwai Keong,,,,,,,,
Pornchai Matangkasombut,,,,,,,,
Sakthip Krairiksh,,,,,,,,
Choo-Chat Kambhu Na Ayudhya,,,,,,,,
Vivat Tejapaibul,,,,,,,,
Panote Sirivadhanabhakdi,,,,,,,,
Thapana Sirivadhanabhakdi,,,,,,,,
Ueychai Tantha-Obhas,,,,,,,,
Sithichai Chaikriangkrai,,,,,,,,
Pisanu Vichiensanth,,,,,,,,
,,,,,,,,
Sembcorp Industries Ltd,,https://www.sembcorp.com/en/about-sembcorp/leadership/board-of-directors/,,U96.SI,,,,,,
Ang Kong Hua,,,,,,,,
Tham Kui Seng,,,,,,,,
Ajaib Haridass,,,,,,,,
Nicky Tan Ng Kuang,,,,,,,,
Yap Chee Keong,,,,,,,,
Josephine Kwa Lay Keng,,,,,,,,
Nagi Hamiyeh,,,,,,,,
Lim Ming Yan,,,,,,,,
Tow Heng Tan,,,,,,,,
Wong Kim Yin,,,,,,,,
,,,,,,,,
CapitaLand Integrated Commercial Trust,,https://www.cmt.com.sg/board-of-directors.html,,C38U.SI,,,,
Teo Swee Lian,,,,,,,,
Tony Tan Tee Hieong,,,,,,,,
Quek Bin Hwee,,,,,,,,
Leo Mun Wai,,,,,,,,
Jeann Low Ngiap Jong,,,,,,,,
Stephen Lim Beng Lin,,,,,,,,
Jonathan Yap Neng Tong,,,,,,,,
Lim Cho Pin Andrew Geoffrey,,,,,,,,
,,,,,,,,
City Developments Limited,,https://cdl.com.sg/board-of-directors,,C09.SI,,,,,,
KWEK LENG BENG,,,,,,,,
SHERMAN KWEK EIK TSE,,,,,,,,
LEE JEE CHENG PHILIP,,,,,,,,
PHILIP YEO LIAT KOK,,,,,,,,
ONG LIAN JIN COLIN,,,,,,,,
DANIEL MARIE GHISLAIN DESBAILLETS,,,,,,,,
CHONG YOON CHOU,,,,,,,,
CAROL FONG (CHAN SWEE LIANG CAROLINA),,,,,,,,
TANG AI AI MRS WONG AI AI,,,,,,,,
,,,,,,,,
ComfortDelGro Corporation Limited,,https://www.comfortdelgro.com/board-management,,C52.SI,,,,,
Lim Jit Poh,,,,,,,,
Yang Ban Seng,,,,,,,,
Jessica Cheam,,,,,,,,
Chiang Chie Foo,,,,,,,,
Mark Christopher Greaves,,,,,,,,
Kyle Lee,,,,,,,,
Philip Lee,,,,,,,,
Ooi Beng Chin,,,,,,,,
Adeline Sum,,,,,,,,
Lilian Tham,,,,,,,,
Wang Kai Yuen,,,,,,,,
,,,,,,,,
Dairy Farm International Holdings,, ,,D01.SI,,,,,,,,
Benjamin Keswick,,,,,,,,
Anthony Nightingale,,,,,,,,
Adam Phillip Charles Keswick,,,,,,,,
John Witt,,,,,,,,
Clem Constantine,,,,,,,,
David Cheesewright,,,,,,,,
Weiwei Chen,,,,,,,,
Christian Karl Nothhaft,,,,,,,,
,,,,,,,,
DBS Group Holdings,,https://www.dbs.com/about-us/our-leadership/director.page,,D05.SI,,,,,,
Peter Seah Lim Huat,,,,,,,,
Piyush Gupta,,,,,,,,
Chng Kai Fong,,,,,,,,
Bonghan Cho,,,,,,,,
Ho Tian Yee,,,,,,,,
Punita Lal,,,,,,,,
Judy Lee,,,,,,,,
Anthony Lim Weng Kin,,,,,,,,
Olivier Lim Tse Ghow,,,,,,,,
Tham Sai Choy,,,,,,,,
,,,,,,,,
Frasers Logistics & Commercial Trust,,https://flct.frasersproperty.com/corporate-directory.html,,NA,,,,,,
Ho Hon Cheong,,,,,,,,
Goh Yong Chian,,,,,,,,
Paul Gilbert Say,,,,,,,,
Margaret Soh,,,,,,,,
Bobby Chin Yoke Choong,,,,,,,,
Panote Sirivadhanabhakdi,,,,,,,,
Rodney Vaughan Fehring,,,,,,,,
Chia Khong Shoong,,,,,,,,
Reinfried Helmut Otter,,,,,,,,
,,,,,,,,
Genting Singapore PLC,,http://www.gentingsingapore.com/#!/en/company/board-of-directors,,G13.SI,,,,,,
LIM KOK THAY,,,,,,,,
TAN HEE TECK,,,,,,,,
CHAN SWEE LIANG CAROLINA (CAROL FONG),,,,,,,,
TAN WAH YEOW,,,,,,,,
JONATHAN ASHERSON,,,,,,,,
HAUW SZE SHIUNG WINSTON,,,,,,,,
,,,,,,,,
Hongkong Land Holdings,,https://www.hkland.com/en/about-us/corporate-leadership-and-governance,,H78.SI,,,,,,
Ben Keswick,,,,,,,,
John Witt,,,,,,,,
Robert Wong,,,,,,,,
Craig Beattie,,,,,,,,
Adam Keswick,,,,,,,,
Anthony Nightingale,,,,,,,,
Christina Ong,,,,,,,,
Yiu Kai Pang,,,,,,,,
"Lord Powell of Bayswater, KCMG",,,,,,,,
Prijono Sugiarto,,,,,,,,
Percy Weatherall,,,,,,,,
Michael Wei Kuo Wu,,,,,,,,
Jonathan Lloyd,,,,,,,,
,,,,,,,,
Jardine Cycle & Carriage,,https://www.jcclgroup.com/about-us/board-of-directors,,C07.SI,,,,,,
BENJAMIN KESWICK,,,,,,,,
BENJAMIN BIRKS,,,,,,,,
STEPHEN GORE,,,,,,,,
MICHAEL KOK,,,,,,,,
LIM HWEE HUA,,,,,,,,
MARTY NATALEGAWA,,,,,,,,
ANTHONY NIGHTINGALE,,,,,,,,
STEVEN PHAN,,,,,,,,
TAN YEN YEN,,,,,,,,
SAMUEL TSIEN,,,,,,,,
,,,,,,,,
Jardine Matheson Holdings Limited,,https://www.jardines.com/en/about-us/our-leadership,,J36.SI,,,,,,,,
Ben Keswick,,,,,,,,
John Witt,,,,,,,,
Yiu Kai Pang,,,,,,,,
Graham Baker,,,,,,,,
Stuart Gulliver,,,,,,,,
David Hsu,,,,,,,,
Julian Hui,,,,,,,,
Adam Keswick,,,,,,,,
Anthony Nightingale,,,,,,,,
Jeremy Parr,,,,,,,,
Percy Weatherall,,,,,,,,
Michael Wei Kuo Wu,,,,,,,,
Jonathan Lloyd,,,,,,,,
,,,,,,,,
