Nanyang Technological University,,https://www.ntu.edu.sg/about-us/leadership-organisation/board-of-trustees
Goh Swee Chen,,
Dewi Fortuna Anwar,,
Leszek Borysiewicz,,
Goh Sin Teck,,
Lai Chung Han,,
Lam Chung Nian,,
Lee Shiang Long,,
Lim Chow Kiat,,
Lim Chuan Poh,,
Lo Kien Foh,,
Low Check Kian,,
Anthony Mallek,,
David Su Tuong Sing,,
Tan Chin Hwee,,
Wong Yew Meng,,
Zainul Abidin Rasheed,,
Alexander J.B. Zehnder,,
Subra Suresh,,
,,
National University of Singapore,,https://www.nus.edu.sg/about/board-of-trustees
HSIEH Fu Hua,,
CHAN Heng Chee,,
CHEONG Koon Hean,,
CHEW Gek Khim,,
GOH Choon Phong,,
Peter HO Hak Ean,,
HO Teck Hua,,
Timothy Lawrence KILLEEN,,
LAI Chung Han,,
LEE Ming San,,
Forrest LI,,
Andrew Lim Ming-Hui,,
LOH Chin Hua,,
Chaly MAH Chee Kheong,,
Sudha NAIR,,
NG Wai King,,
Bahren SHAARI,,
TAN Eng Chye,,
TAN Hooi Ling,,
Jeanette WONG,,
Elaine YEW Wen Suen,,
,,
SMU,,https://www.smu.edu.sg/about/leadership
Ho Kwon Ping,,
"Beh Jit Han, Paul",,
Piyush Gupta,,
Deborah Ho,,
Melissa Khoo,,
Maxwell King,,
Kho Hui Meng,,
Hugh Lim,,
Olivier Lim,,
Lim Kexin,,
Lim Ming Yan,,
Edmund Lin,,
Ivy Ng,,
Arif P. Rachmat,,
Juthika Ramanathan,,
Ganen Sarvananthan,,
Panote Sirivadhanabhakdi,,
Jaime Augusto Zobel de Ayala,,
Nigel Thrift,,
Sunny Verghese,,
